# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: D:\zzzProgramming\FPGA\10M08SAE144C8GES_pinout.csv
# Generated on: Wed Sep 16 13:01:39 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DIFFIO_B3P,Unknown,PIN_43,3,B3_N0,2.5 V,,,,,
DIFFIO_B5N,Unknown,PIN_44,3,B3_N0,2.5 V,,,,,
DIFFIO_B5P,Unknown,PIN_45,3,B3_N0,2.5 V,,,,,
DIFFIO_B7N,Unknown,PIN_46,3,B3_N0,2.5 V,,,,,
DIFFIO_B7P,Unknown,PIN_47,3,B3_N0,2.5 V,,,,,
DIFFIO_B9N,Unknown,PIN_50,3,B3_N0,2.5 V,,,,,
DIFFIO_B9P,Unknown,PIN_52,3,B3_N0,2.5 V,,,,,
DIFFIO_B12N,Unknown,PIN_55,3,B3_N0,2.5 V,,,,,
DIFFIO_B12P,Unknown,PIN_56,3,B3_N0,2.5 V,,,,,
DIFFIO_B14N,Unknown,PIN_57,3,B3_N0,2.5 V,,,,,
DIFFIO_B14P,Unknown,PIN_58,3,B3_N0,2.5 V,,,,,
DIFFIO_B16N,Unknown,PIN_59,3,B3_N0,2.5 V,,,,,
DIFFIO_B16P,Unknown,PIN_60,3,B3_N0,2.5 V,,,,,
Arduino_IO8,Unknown,PIN_62,4,B4_N0,2.5 V,,,,,
Arduino_IO9,Unknown,PIN_64,4,B4_N0,2.5 V,,,,,
Arduino_IO10,Unknown,PIN_65,4,B4_N0,2.5 V,,,,,
Arduino_IO11,Unknown,PIN_66,4,B4_N0,2.5 V,,,,,
Arduino_IO12,Unknown,PIN_69,4,B4_N0,2.5 V,,,,,
Arduino_IO13,Unknown,PIN_70,4,B4_N0,2.5 V,,,,,
Arduino_IO1,Unknown,PIN_75,5,B5_N0,2.5 V,,,,,
Arduino_IO0,Unknown,PIN_74,5,B5_N0,2.5 V,,,,,
Arduino_IO3,Unknown,PIN_77,5,B5_N0,2.5 V,,,,,
Arduino_IO2,Unknown,PIN_76,5,B5_N0,2.5 V,,,,,
Arduino_IO4,Unknown,PIN_79,5,B5_N0,2.5 V,,,,,
Arduino_IO5,Unknown,PIN_81,5,B5_N0,2.5 V,,,,,
Arduino_IO6,Unknown,PIN_84,5,B5_N0,2.5 V,,,,,
Arduino_IO7,Unknown,PIN_86,5,B5_N0,2.5 V,,,,,
DIFFIO_R14P_CLK2P,Unknown,PIN_88,6,B6_N0,2.5 V,,,,,
DIFFIO_R14N_CLK2N,Unknown,PIN_89,6,B6_N0,2.5 V,,,,,
DIFFIO_R16P_CLK3P,Unknown,PIN_90,6,B6_N0,2.5 V,,,,,
DIFFIO_R16N_CLK3N,Unknown,PIN_91,6,B6_N0,2.5 V,,,,,
DIFFIO_R18P,Unknown,PIN_92,6,B6_N0,2.5 V,,,,,
DIFFIO_R18N,Unknown,PIN_93,6,B6_N0,2.5 V,,,,,
DIFFIO_R26P_DPCLK3,Unknown,PIN_96,6,B6_N0,2.5 V,,,,,
DIFFIO_R26N_DPCLK2,Unknown,PIN_98,6,B6_N0,2.5 V,,,,,
DIFFIO_R27P,Unknown,PIN_99,6,B6_N0,2.5 V,,,,,
DIFFIO_R28P,Unknown,PIN_100,6,B6_N0,2.5 V,,,,,
DIFFIO_R27N,Unknown,PIN_101,6,B6_N0,2.5 V,,,,,
DIFFIO_R28N,Unknown,PIN_102,6,B6_N0,2.5 V,,,,,
DIFFIO_R33P,Unknown,PIN_105,6,B6_N0,2.5 V,,,,,
DIFFIO_R33N,Unknown,PIN_106,6,B6_N0,2.5 V,,,,,
DIFFIO_T1P,Unknown,PIN_110,7,B7_N0,2.5 V,,,,,
DIFFIO_T1N,Unknown,PIN_111,7,B7_N0,2.5 V,,,,,
DIFFIO_T4N,Unknown,PIN_113,7,B7_N0,2.5 V,,,,,
DIFFIO_T6P,Unknown,PIN_114,7,B7_N0,2.5 V,,,,,
DIFFIO_T10P,Unknown,PIN_118,7,B7_N0,2.5 V,,,,,
DIFFIO_T10N,Unknown,PIN_119,7,B7_N0,2.5 V,,,,,
SWITCH1,Unknown,PIN_120,8,B8_N0,2.5 V,,,,,
RESET_N,Unknown,PIN_121,8,B8_N0,2.5 V,,,,,
SWITCH2,Unknown,PIN_124,8,B8_N0,2.5 V,,,,,
SWITCH3,Unknown,PIN_127,8,B8_N0,2.5 V,,,,,
SWITCH4,Unknown,PIN_130,8,B8_N0,2.5 V,,,,,
SWITCH5,Unknown,PIN_131,8,B8_N0,2.5 V,,,,,
LED1,Unknown,PIN_132,8,B8_N0,2.5 V,,,,,
LED2,Unknown,PIN_134,8,B8_N0,2.5 V,,,,,
LED3,Unknown,PIN_135,8,B8_N0,2.5 V,,,,,
LED4,Unknown,PIN_140,8,B8_N0,2.5 V,,,,,
LED5,Unknown,PIN_141,8,B8_N0,2.5 V,,,,,
Clock,Unknown,,,,2.5 V,,,,,
